date,temp_max,temp_min,precipitation,precip_probability,wind_speed,wind_gust,weather_code,city,latitude,longitude,extraction_date
2026-09-17,22.3,20.7,0.0,0.0,41.0,52.2,1,Ad Dakhla,23.7167,-15.95,2026-09-17
2026-09-18,21.3,20.3,0.0,0.0,35.7,44.6,0,Ad Dakhla,23.7167,-15.95,2026-09-17
2026-09-19,21.1,20.0,0.0,0.0,30.0,37.1,0,Ad Dakhla,23.7167,-15.95,2026-09-17
2026-09-20,21.5,19.5,0.0,0.0,30.8,38.5,0,Ad Dakhla,23.7167,-15.95,2026-09-17
2026-09-21,21.6,20.1,0.0,7.0,29.4,37.8,0,Ad Dakhla,23.7167,-15.95,2026-09-17
2026-09-22,21.9,19.8,0.0,14.0,31.0,39.2,1,Ad Dakhla,23.7167,-15.95,2026-09-17
2026-09-23,22.3,20.4,0.0,7.0,27.7,40.3,3,Ad Dakhla,23.7167,-15.95,2026-09-17
2026-09-17,27.0,18.3,0.0,0.0,14.9,29.9,3,Ad Darwa,33.4167,-7.5333,2026-09-17
2026-09-18,27.5,17.5,0.0,0.0,17.3,33.8,3,Ad Darwa,33.4167,-7.5333,2026-09-17
2026-09-19,30.2,17.4,0.0,0.0,16.0,31.3,45,Ad Darwa,33.4167,-7.5333,2026-09-17
2026-09-20,33.2,20.7,0.0,0.0,15.7,31.0,45,Ad Darwa,33.4167,-7.5333,2026-09-17
2026-09-21,33.7,20.6,0.0,0.0,16.2,31.7,45,Ad Darwa,33.4167,-7.5333,2026-09-17
2026-09-22,34.5,20.2,0.0,0.0,18.0,34.2,0,Ad Darwa,33.4167,-7.5333,2026-09-17
2026-09-23,34.4,18.0,0.0,0.0,18.8,36.0,3,Ad Darwa,33.4167,-7.5333,2026-09-17
2026-09-17,28.1,20.5,0.0,0.0,13.8,37.8,3,Agadir,30.4214,-9.5831,2026-09-17
2026-09-18,25.8,19.6,0.0,0.0,12.2,33.8,2,Agadir,30.4214,-9.5831,2026-09-17
2026-09-19,26.1,20.4,0.0,0.0,14.0,39.6,2,Agadir,30.4214,-9.5831,2026-09-17
2026-09-20,27.7,20.9,0.0,0.0,12.4,37.1,45,Agadir,30.4214,-9.5831,2026-09-17
2026-09-21,32.5,22.1,0.0,0.0,9.0,27.7,1,Agadir,30.4214,-9.5831,2026-09-17
