date,temp_max,temp_min,precipitation,precip_probability,wind_speed,wind_gust,weather_code,city,latitude,longitude,extraction_date
2026-09-22,38.1,23.4,0.0,3.0,22.0,42.1,0,Agadir,30.4214,-9.5831,2026-09-17
2026-09-23,38.2,22.1,0.0,3.0,12.3,25.2,1,Agadir,30.4214,-9.5831,2026-09-17
2026-09-17,29.2,15.1,0.0,0.0,14.9,32.0,3,Aguelmous,33.1324,-5.8366,2026-09-17
2026-09-18,30.2,15.4,0.0,0.0,19.8,45.4,3,Aguelmous,33.1324,-5.8366,2026-09-17
2026-09-19,32.0,17.8,0.2,10.0,14.7,39.6,80,Aguelmous,33.1324,-5.8366,2026-09-17
2026-09-20,32.1,20.1,0.5,8.0,17.0,37.4,80,Aguelmous,33.1324,-5.8366,2026-09-17
2026-09-21,32.3,20.1,0.0,15.0,22.3,46.1,2,Aguelmous,33.1324,-5.8366,2026-09-17
2026-09-22,31.6,19.9,0.0,3.0,17.6,35.6,2,Aguelmous,33.1324,-5.8366,2026-09-17
2026-09-23,33.0,16.8,0.0,3.0,15.9,36.0,1,Aguelmous,33.1324,-5.8366,2026-09-17
2026-09-17,26.0,16.5,0.0,0.0,14.5,30.2,3,Ain El Aouda,33.8111,-6.7922,2026-09-17
2026-09-18,27.5,15.6,0.0,0.0,17.1,34.6,45,Ain El Aouda,33.8111,-6.7922,2026-09-17
2026-09-19,32.1,15.7,0.0,0.0,16.8,33.5,1,Ain El Aouda,33.8111,-6.7922,2026-09-17
2026-09-20,34.2,19.8,0.0,0.0,16.8,33.5,2,Ain El Aouda,33.8111,-6.7922,2026-09-17
2026-09-21,35.2,20.5,0.0,0.0,16.6,34.6,2,Ain El Aouda,33.8111,-6.7922,2026-09-17
2026-09-22,34.8,19.8,0.0,0.0,16.8,32.4,0,Ain El Aouda,33.8111,-6.7922,2026-09-17
2026-09-23,34.6,18.0,0.0,0.0,15.7,32.4,2,Ain El Aouda,33.8111,-6.7922,2026-09-17
2026-09-17,26.7,20.8,0.0,0.0,24.5,39.6,3,Ait Ali,30.1739,-9.4881,2026-09-17
2026-09-18,25.8,19.5,0.0,0.0,21.9,36.0,2,Ait Ali,30.1739,-9.4881,2026-09-17
2026-09-19,26.2,20.1,0.0,0.0,20.5,33.8,3,Ait Ali,30.1739,-9.4881,2026-09-17
2026-09-20,27.2,20.0,0.0,0.0,20.3,33.5,3,Ait Ali,30.1739,-9.4881,2026-09-17
2026-09-21,33.4,20.1,0.0,0.0,19.1,32.0,1,Ait Ali,30.1739,-9.4881,2026-09-17
2026-09-22,33.8,21.5,0.0,0.0,18.2,31.7,0,Ait Ali,30.1739,-9.4881,2026-09-17
2026-09-23,32.6,20.9,0.0,0.0,15.8,27.0,1,Ait Ali,30.1739,-9.4881,2026-09-17
2026-09-17,26.7,21.2,0.0,0.0,17.3,34.9,3,Ait Melloul,30.3342,-9.4972,2026-09-17
2026-09-18,25.7,19.7,0.0,0.0,17.6,35.6,2,Ait Melloul,30.3342,-9.4972,2026-09-17
2026-09-19,25.9,20.5,0.0,0.0,19.9,39.2,3,Ait Melloul,30.3342,-9.4972,2026-09-17
2026-09-20,26.6,20.2,0.0,0.0,19.5,38.5,45,Ait Melloul,30.3342,-9.4972,2026-09-17
2026-09-21,31.6,19.8,0.0,0.0,15.1,32.4,1,Ait Melloul,30.3342,-9.4972,2026-09-17
2026-09-22,38.3,21.1,0.0,0.0,22.0,42.1,0,Ait Melloul,30.3342,-9.4972,2026-09-17
2026-09-23,38.4,22.4,0.0,0.0,12.3,25.2,1,Ait Melloul,30.3342,-9.4972,2026-09-17
2026-09-17,28.7,16.3,0.0,0.0,11.4,22.7,3,Ait Ourir,31.5644,-7.6628,2026-09-17
2026-09-18,30.8,16.8,0.0,0.0,10.7,21.6,3,Ait Ourir,31.5644,-7.6628,2026-09-17
2026-09-19,35.0,19.8,0.3,13.0,16.9,42.1,3,Ait Ourir,31.5644,-7.6628,2026-09-17
2026-09-20,35.9,22.9,0.7,13.0,13.8,28.8,80,Ait Ourir,31.5644,-7.6628,2026-09-17
2026-09-21,36.1,22.3,0.0,10.0,15.6,31.0,2,Ait Ourir,31.5644,-7.6628,2026-09-17
2026-09-22,36.0,22.7,0.0,10.0,16.0,30.6,0,Ait Ourir,31.5644,-7.6628,2026-09-17
2026-09-23,36.0,18.6,0.0,3.0,13.5,25.9,0,Ait Ourir,31.5644,-7.6628,2026-09-17
2026-09-17,27.7,17.8,0.0,0.0,16.6,29.5,3,Al Aaroui,35.0104,-3.0073,2026-09-17
2026-09-18,26.6,18.8,0.0,0.0,24.7,43.2,45,Al Aaroui,35.0104,-3.0073,2026-09-17
2026-09-19,26.6,20.9,0.1,4.0,29.0,51.1,3,Al Aaroui,35.0104,-3.0073,2026-09-17
2026-09-20,27.1,22.2,0.0,5.0,27.5,50.4,45,Al Aaroui,35.0104,-3.0073,2026-09-17
2026-09-21,26.7,20.9,0.0,0.0,22.9,45.0,3,Al Aaroui,35.0104,-3.0073,2026-09-17
2026-09-22,28.3,17.7,0.0,3.0,16.3,29.5,45,Al Aaroui,35.0104,-3.0073,2026-09-17
2026-09-23,29.0,16.4,0.0,0.0,16.3,31.3,1,Al Aaroui,35.0104,-3.0073,2026-09-17
2026-09-17,32.9,15.9,0.0,0.0,14.3,26.3,2,Al Fqih Ben Çalah,32.507,-6.6886,2026-09-17
2026-09-18,34.5,16.9,0.0,0.0,14.9,27.4,3,Al Fqih Ben Çalah,32.507,-6.6886,2026-09-17
2026-09-19,38.3,20.6,0.0,1.0,15.4,29.5,2,Al Fqih Ben Çalah,32.507,-6.6886,2026-09-17
2026-09-20,38.9,23.9,0.0,5.0,22.0,46.8,3,Al Fqih Ben Çalah,32.507,-6.6886,2026-09-17
2026-09-21,38.3,21.1,0.0,5.0,11.5,33.5,3,Al Fqih Ben Çalah,32.507,-6.6886,2026-09-17
2026-09-22,38.1,20.5,0.0,3.0,11.8,20.5,1,Al Fqih Ben Çalah,32.507,-6.6886,2026-09-17
2026-09-23,38.5,18.3,0.0,3.0,10.8,19.1,0,Al Fqih Ben Çalah,32.507,-6.6886,2026-09-17
2026-09-17,25.8,19.5,0.0,25.0,13.7,24.8,3,Al Hoceïma,35.2472,-3.9322,2026-09-17
2026-09-18,26.6,18.7,0.0,0.0,19.5,35.3,45,Al Hoceïma,35.2472,-3.9322,2026-09-17
2026-09-19,28.6,19.9,0.0,0.0,28.2,50.4,3,Al Hoceïma,35.2472,-3.9322,2026-09-17
2026-09-20,28.1,23.6,0.0,5.0,23.4,41.8,3,Al Hoceïma,35.2472,-3.9322,2026-09-17
2026-09-21,28.6,21.2,0.0,0.0,22.0,39.6,2,Al Hoceïma,35.2472,-3.9322,2026-09-17
2026-09-22,27.0,18.0,0.0,0.0,14.4,24.8,1,Al Hoceïma,35.2472,-3.9322,2026-09-17
2026-09-23,27.0,18.5,0.0,0.0,11.1,20.5,45,Al Hoceïma,35.2472,-3.9322,2026-09-17
2026-09-17,28.1,15.1,0.0,0.0,14.0,30.2,45,Al Khmissat,33.81,-6.06,2026-09-17
2026-09-18,29.6,15.7,0.0,0.0,17.3,36.7,3,Al Khmissat,33.81,-6.06,2026-09-17
2026-09-19,34.8,18.0,0.0,0.0,14.2,30.6,2,Al Khmissat,33.81,-6.06,2026-09-17
2026-09-20,37.1,21.4,0.0,0.0,15.9,33.1,2,Al Khmissat,33.81,-6.06,2026-09-17
2026-09-21,36.8,21.3,0.0,0.0,16.0,35.6,1,Al Khmissat,33.81,-6.06,2026-09-17
2026-09-22,35.5,20.5,0.0,3.0,14.4,29.2,1,Al Khmissat,33.81,-6.06,2026-09-17
2026-09-23,35.7,16.2,0.0,3.0,14.8,28.1,0,Al Khmissat,33.81,-6.06,2026-09-17
2026-09-17,28.7,16.4,0.0,0.0,14.6,27.7,45,Al ’Attawia,31.83,-7.31,2026-09-17
2026-09-18,30.8,16.9,0.0,0.0,13.1,24.1,3,Al ’Attawia,31.83,-7.31,2026-09-17
2026-09-19,34.8,19.9,0.0,5.0,13.7,25.9,2,Al ’Attawia,31.83,-7.31,2026-09-17
2026-09-20,35.7,22.6,0.1,13.0,17.5,32.0,3,Al ’Attawia,31.83,-7.31,2026-09-17
2026-09-21,35.7,21.1,0.7,6.0,10.4,29.2,3,Al ’Attawia,31.83,-7.31,2026-09-17
2026-09-22,35.7,21.2,0.2,5.0,11.2,23.0,2,Al ’Attawia,31.83,-7.31,2026-09-17
2026-09-23,36.1,17.0,0.0,3.0,13.2,25.9,0,Al ’Attawia,31.83,-7.31,2026-09-17
2026-09-17,34.5,21.5,0.1,20.0,19.3,32.0,3,Arfoud,31.4361,-4.2328,2026-09-17
2026-09-18,34.1,21.4,0.0,13.0,18.4,37.4,3,Arfoud,31.4361,-4.2328,2026-09-17
2026-09-19,32.7,23.4,0.4,13.0,22.2,36.4,3,Arfoud,31.4361,-4.2328,2026-09-17
2026-09-20,32.6,21.8,0.0,10.0,12.8,24.5,3,Arfoud,31.4361,-4.2328,2026-09-17
2026-09-21,34.4,21.5,0.0,35.0,15.3,22.3,2,Arfoud,31.4361,-4.2328,2026-09-17
2026-09-22,33.4,22.3,0.0,17.0,17.6,27.4,2,Arfoud,31.4361,-4.2328,2026-09-17
2026-09-23,32.2,20.8,0.0,18.0,8.9,15.8,1,Arfoud,31.4361,-4.2328,2026-09-17
2026-09-17,24.0,18.7,0.0,0.0,14.4,25.9,3,Asilah,35.4667,-6.0333,2026-09-17
2026-09-18,28.2,16.1,0.0,0.0,25.6,46.1,45,Asilah,35.4667,-6.0333,2026-09-17
2026-09-19,29.5,23.1,0.0,0.0,36.0,67.0,0,Asilah,35.4667,-6.0333,2026-09-17
2026-09-20,30.9,24.6,0.0,0.0,27.9,51.8,1,Asilah,35.4667,-6.0333,2026-09-17
2026-09-21,31.1,23.8,0.0,0.0,23.1,41.4,0,Asilah,35.4667,-6.0333,2026-09-17
2026-09-22,36.1,22.6,0.0,0.0,15.0,31.0,0,Asilah,35.4667,-6.0333,2026-09-17
2026-09-23,36.1,19.7,0.0,3.0,14.9,32.8,0,Asilah,35.4667,-6.0333,2026-09-17
2026-09-17,25.9,19.7,0.0,0.0,14.1,25.9,3,Azemmour,33.2833,-8.3333,2026-09-17
2026-09-18,25.3,18.2,0.0,0.0,19.6,36.0,2,Azemmour,33.2833,-8.3333,2026-09-17
2026-09-19,26.9,19.6,0.0,0.0,17.1,31.3,2,Azemmour,33.2833,-8.3333,2026-09-17
2026-09-20,27.6,19.8,0.0,0.0,13.8,25.6,45,Azemmour,33.2833,-8.3333,2026-09-17
2026-09-21,27.3,20.4,0.0,0.0,12.6,23.8,45,Azemmour,33.2833,-8.3333,2026-09-17
2026-09-22,27.7,20.4,0.0,0.0,12.9,26.3,45,Azemmour,33.2833,-8.3333,2026-09-17
2026-09-23,28.5,20.0,0.0,0.0,13.4,26.6,45,Azemmour,33.2833,-8.3333,2026-09-17
2026-09-17,26.4,14.5,0.0,0.0,14.8,34.6,3,Aziylal,31.96,-6.56,2026-09-17
2026-09-18,27.5,15.6,0.0,3.0,15.8,37.4,3,Aziylal,31.96,-6.56,2026-09-17
2026-09-19,29.1,19.4,0.2,10.0,28.4,70.6,3,Aziylal,31.96,-6.56,2026-09-17
2026-09-20,29.3,20.0,0.2,20.0,17.3,43.2,3,Aziylal,31.96,-6.56,2026-09-17
2026-09-21,29.1,19.4,0.3,18.0,18.8,38.5,3,Aziylal,31.96,-6.56,2026-09-17
2026-09-22,29.2,18.3,0.0,10.0,18.8,39.2,2,Aziylal,31.96,-6.56,2026-09-17
2026-09-23,30.3,17.2,0.0,5.0,17.6,36.7,0,Aziylal,31.96,-6.56,2026-09-17
2026-09-17,25.9,15.1,0.0,0.0,15.0,34.6,3,Azrou,33.4344,-5.2213,2026-09-17
2026-09-18,26.7,13.9,0.0,0.0,16.6,38.5,3,Azrou,33.4344,-5.2213,2026-09-17
2026-09-19,28.9,18.3,0.0,33.0,18.2,38.5,80,Azrou,33.4344,-5.2213,2026-09-17
2026-09-20,29.6,19.0,0.0,8.0,17.7,36.0,3,Azrou,33.4344,-5.2213,2026-09-17
2026-09-21,29.0,18.4,0.0,5.0,19.0,41.0,2,Azrou,33.4344,-5.2213,2026-09-17
2026-09-22,27.9,15.6,0.0,5.0,18.3,43.9,1,Azrou,33.4344,-5.2213,2026-09-17
2026-09-23,29.4,17.4,0.0,5.0,12.6,37.4,0,Azrou,33.4344,-5.2213,2026-09-17
2026-09-17,25.8,18.9,0.0,0.0,13.2,36.0,3,Aïn Harrouda,33.6372,-7.4483,2026-09-17
2026-09-18,25.2,18.0,0.0,0.0,13.8,36.4,3,Aïn Harrouda,33.6372,-7.4483,2026-09-17
2026-09-19,27.0,17.1,0.0,0.0,12.4,33.5,45,Aïn Harrouda,33.6372,-7.4483,2026-09-17
2026-09-20,29.4,20.7,0.0,0.0,12.2,32.8,45,Aïn Harrouda,33.6372,-7.4483,2026-09-17
2026-09-21,29.2,20.9,0.0,0.0,11.5,31.7,45,Aïn Harrouda,33.6372,-7.4483,2026-09-17
2026-09-22,29.4,20.7,0.0,0.0,12.3,29.5,1,Aïn Harrouda,33.6372,-7.4483,2026-09-17
2026-09-23,29.0,18.9,0.0,0.0,12.6,29.9,3,Aïn Harrouda,33.6372,-7.4483,2026-09-17
2026-09-17,27.3,16.7,0.0,0.0,14.0,27.4,45,Aïn Taoujdat,33.9333,-5.2167,2026-09-17
2026-09-18,30.0,16.7,0.0,0.0,15.6,30.2,2,Aïn Taoujdat,33.9333,-5.2167,2026-09-17
2026-09-19,33.7,18.6,0.0,5.0,19.1,36.4,2,Aïn Taoujdat,33.9333,-5.2167,2026-09-17
2026-09-20,35.7,20.0,0.0,0.0,15.7,31.0,2,Aïn Taoujdat,33.9333,-5.2167,2026-09-17
2026-09-21,35.3,20.6,0.0,0.0,14.1,29.5,1,Aïn Taoujdat,33.9333,-5.2167,2026-09-17
2026-09-22,34.2,19.8,0.0,3.0,13.8,25.9,1,Aïn Taoujdat,33.9333,-5.2167,2026-09-17
2026-09-23,35.2,17.7,0.0,3.0,12.3,23.4,0,Aïn Taoujdat,33.9333,-5.2167,2026-09-17
2026-09-17,27.8,17.4,0.0,0.0,16.9,31.3,3,Barrechid,33.27,-7.5872,2026-09-17
2026-09-18,29.3,16.4,0.0,0.0,19.5,34.9,45,Barrechid,33.27,-7.5872,2026-09-17
2026-09-19,32.9,16.7,0.0,0.0,18.1,32.4,2,Barrechid,33.27,-7.5872,2026-09-17
2026-09-20,34.9,20.7,0.0,0.0,18.7,33.8,45,Barrechid,33.27,-7.5872,2026-09-17
2026-09-21,35.6,20.4,0.0,0.0,18.9,34.9,45,Barrechid,33.27,-7.5872,2026-09-17
2026-09-22,34.5,19.7,0.0,0.0,17.8,33.1,1,Barrechid,33.27,-7.5872,2026-09-17
2026-09-23,34.2,18.8,0.0,0.0,19.5,35.3,3,Barrechid,33.27,-7.5872,2026-09-17
2026-09-17,28.6,16.5,0.0,0.0,15.9,33.8,3,Ben Guerir,32.23,-7.95,2026-09-17
2026-09-18,30.6,16.5,0.0,0.0,16.2,32.4,2,Ben Guerir,32.23,-7.95,2026-09-17
2026-09-19,34.3,19.6,0.0,0.0,17.5,34.6,2,Ben Guerir,32.23,-7.95,2026-09-17
2026-09-20,35.5,22.2,0.0,10.0,19.3,38.5,2,Ben Guerir,32.23,-7.95,2026-09-17
2026-09-21,37.4,22.1,0.0,4.0,20.2,39.6,2,Ben Guerir,32.23,-7.95,2026-09-17
2026-09-22,36.8,21.3,0.0,3.0,21.0,36.4,1,Ben Guerir,32.23,-7.95,2026-09-17
2026-09-23,36.6,19.6,0.0,3.0,20.2,36.0,3,Ben Guerir,32.23,-7.95,2026-09-17
2026-09-17,26.3,17.8,0.0,0.0,16.6,31.0,3,Beni Yakhlef,33.6555,-7.3221,2026-09-17
2026-09-18,26.0,16.5,0.0,0.0,18.9,35.3,3,Beni Yakhlef,33.6555,-7.3221,2026-09-17
2026-09-19,28.3,15.9,0.0,0.0,16.9,31.3,2,Beni Yakhlef,33.6555,-7.3221,2026-09-17
2026-09-20,30.8,20.0,0.0,0.0,16.4,31.0,45,Beni Yakhlef,33.6555,-7.3221,2026-09-17
2026-09-21,31.1,20.3,0.0,0.0,16.5,31.0,45,Beni Yakhlef,33.6555,-7.3221,2026-09-17
2026-09-22,31.6,19.8,0.0,0.0,17.0,31.7,1,Beni Yakhlef,33.6555,-7.3221,2026-09-17
2026-09-23,31.3,17.9,0.0,0.0,16.7,31.3,3,Beni Yakhlef,33.6555,-7.3221,2026-09-17
2026-09-17,26.2,17.9,0.0,0.0,14.5,31.0,3,Berkane,34.9167,-2.3167,2026-09-17
2026-09-18,26.1,18.6,0.0,0.0,18.9,39.2,3,Berkane,34.9167,-2.3167,2026-09-17
2026-09-19,26.6,19.9,0.2,3.0,19.6,41.8,80,Berkane,34.9167,-2.3167,2026-09-17
2026-09-20,27.4,20.8,0.0,3.0,16.6,35.3,45,Berkane,34.9167,-2.3167,2026-09-17
2026-09-21,26.5,19.8,0.0,8.0,18.8,38.2,45,Berkane,34.9167,-2.3167,2026-09-17
2026-09-22,27.2,17.3,0.0,1.0,14.7,28.1,2,Berkane,34.9167,-2.3167,2026-09-17
2026-09-23,27.7,18.8,0.0,0.0,13.0,24.8,1,Berkane,34.9167,-2.3167,2026-09-17
2026-09-17,27.4,20.7,0.0,0.0,28.0,47.2,3,Biougra,30.2144,-9.3708,2026-09-17
2026-09-18,27.1,19.5,0.0,0.0,24.4,40.3,1,Biougra,30.2144,-9.3708,2026-09-17
2026-09-19,27.4,19.9,0.0,0.0,21.7,36.7,2,Biougra,30.2144,-9.3708,2026-09-17
2026-09-20,28.7,20.0,0.0,0.0,19.8,33.5,2,Biougra,30.2144,-9.3708,2026-09-17
2026-09-21,35.1,20.7,0.0,0.0,19.1,32.4,2,Biougra,30.2144,-9.3708,2026-09-17
2026-09-22,36.3,21.9,0.0,0.0,23.7,40.7,0,Biougra,30.2144,-9.3708,2026-09-17
2026-09-23,34.6,18.7,0.0,0.0,21.0,34.6,1,Biougra,30.2144,-9.3708,2026-09-17
2026-09-17,25.8,18.5,0.0,0.0,16.6,32.4,3,Bir Jdid,33.3737,-8.0002,2026-09-17
2026-09-18,25.4,17.6,0.0,0.0,19.2,37.4,2,Bir Jdid,33.3737,-8.0002,2026-09-17
2026-09-19,27.3,18.6,0.0,0.0,17.1,33.5,45,Bir Jdid,33.3737,-8.0002,2026-09-17
2026-09-20,30.2,20.4,0.0,0.0,15.5,30.2,45,Bir Jdid,33.3737,-8.0002,2026-09-17
2026-09-21,29.8,20.2,0.0,0.0,15.3,30.2,45,Bir Jdid,33.3737,-8.0002,2026-09-17
2026-09-22,29.5,20.0,0.0,0.0,14.8,28.8,45,Bir Jdid,33.3737,-8.0002,2026-09-17
2026-09-23,29.8,19.0,0.0,3.0,15.8,30.6,45,Bir Jdid,33.3737,-8.0002,2026-09-17
2026-09-17,31.4,17.0,0.0,13.0,20.6,31.3,3,Bou Arfa,32.531,-1.9631,2026-09-17
2026-09-18,29.5,18.3,0.4,20.0,20.6,33.8,3,Bou Arfa,32.531,-1.9631,2026-09-17
2026-09-19,26.2,18.4,1.2,63.0,20.2,47.5,80,Bou Arfa,32.531,-1.9631,2026-09-17
2026-09-20,27.6,17.2,0.5,23.0,16.1,27.0,3,Bou Arfa,32.531,-1.9631,2026-09-17
2026-09-21,28.1,16.1,0.0,35.0,19.2,28.1,3,Bou Arfa,32.531,-1.9631,2026-09-17
2026-09-22,27.1,16.2,0.0,17.0,13.5,27.4,3,Bou Arfa,32.531,-1.9631,2026-09-17
2026-09-23,28.5,15.8,0.0,10.0,13.2,20.9,1,Bou Arfa,32.531,-1.9631,2026-09-17
2026-09-17,31.5,17.3,0.0,0.0,15.8,29.5,1,Boujad,32.7741,-6.3925,2026-09-17
2026-09-18,32.9,17.3,0.0,0.0,21.9,39.2,3,Boujad,32.7741,-6.3925,2026-09-17
2026-09-19,35.8,21.5,0.0,3.0,18.3,40.0,2,Boujad,32.7741,-6.3925,2026-09-17
2026-09-20,36.6,23.5,0.0,1.0,27.3,50.0,3,Boujad,32.7741,-6.3925,2026-09-17
2026-09-21,35.1,22.4,0.0,8.0,15.1,32.8,3,Boujad,32.7741,-6.3925,2026-09-17
2026-09-22,34.7,21.0,0.0,3.0,13.2,33.1,2,Boujad,32.7741,-6.3925,2026-09-17
2026-09-23,35.5,20.6,0.0,3.0,13.2,36.4,0,Boujad,32.7741,-6.3925,2026-09-17
2026-09-17,25.0,18.8,0.0,0.0,12.7,22.7,3,Bouknadel,34.1766,-6.6893,2026-09-17
2026-09-18,24.9,16.9,0.0,0.0,16.8,29.2,45,Bouknadel,34.1766,-6.6893,2026-09-17
2026-09-19,29.9,17.9,0.0,0.0,18.8,32.0,45,Bouknadel,34.1766,-6.6893,2026-09-17
2026-09-20,31.8,20.7,0.0,0.0,14.2,25.6,2,Bouknadel,34.1766,-6.6893,2026-09-17
2026-09-21,31.5,21.1,0.0,0.0,15.3,25.9,1,Bouknadel,34.1766,-6.6893,2026-09-17
2026-09-22,32.4,20.4,0.0,0.0,12.9,29.9,0,Bouknadel,34.1766,-6.6893,2026-09-17
2026-09-23,31.3,17.3,0.0,0.0,12.7,29.5,0,Bouknadel,34.1766,-6.6893,2026-09-17
2026-09-17,26.5,18.6,0.0,0.0,14.3,36.4,3,Bouskoura,33.4489,-7.6486,2026-09-17
2026-09-18,26.9,18.0,0.0,0.0,15.5,38.2,3,Bouskoura,33.4489,-7.6486,2026-09-17
2026-09-19,29.6,18.0,0.0,0.0,14.5,36.4,45,Bouskoura,33.4489,-7.6486,2026-09-17
2026-09-20,32.1,21.0,0.0,0.0,14.6,36.4,45,Bouskoura,33.4489,-7.6486,2026-09-17
2026-09-21,33.1,20.8,0.0,0.0,14.7,36.7,45,Bouskoura,33.4489,-7.6486,2026-09-17
2026-09-22,30.1,20.5,0.0,0.0,11.9,31.3,0,Bouskoura,33.4489,-7.6486,2026-09-17
2026-09-23,29.6,18.7,0.0,3.0,12.3,32.0,3,Bouskoura,33.4489,-7.6486,2026-09-17
2026-09-17,29.9,18.8,0.0,0.0,9.4,27.7,3,Béni Mellal,32.3394,-6.3608,2026-09-17
2026-09-18,32.1,19.1,0.0,0.0,10.0,29.5,3,Béni Mellal,32.3394,-6.3608,2026-09-17
2026-09-19,35.8,23.1,0.0,3.0,16.6,37.4,3,Béni Mellal,32.3394,-6.3608,2026-09-17
2026-09-20,36.6,25.0,0.0,4.0,21.3,47.5,2,Béni Mellal,32.3394,-6.3608,2026-09-17
2026-09-21,35.8,24.5,0.0,5.0,16.0,33.8,2,Béni Mellal,32.3394,-6.3608,2026-09-17
2026-09-22,36.2,23.9,0.0,3.0,18.4,35.6,1,Béni Mellal,32.3394,-6.3608,2026-09-17
2026-09-23,37.1,25.2,0.0,3.0,16.5,31.3,0,Béni Mellal,32.3394,-6.3608,2026-09-17
2026-09-17,25.5,20.9,0.1,0.0,34.2,60.5,51,Cabo Bojador,26.1269,-14.4992,2026-09-17
2026-09-18,24.8,19.8,0.0,0.0,24.1,46.1,1,Cabo Bojador,26.1269,-14.4992,2026-09-17
2026-09-19,25.0,18.9,0.0,0.0,22.2,42.8,3,Cabo Bojador,26.1269,-14.4992,2026-09-17
2026-09-20,26.7,19.1,0.0,0.0,26.8,48.6,1,Cabo Bojador,26.1269,-14.4992,2026-09-17
2026-09-21,26.0,20.0,0.0,1.0,26.5,49.3,1,Cabo Bojador,26.1269,-14.4992,2026-09-17
2026-09-22,26.2,20.4,0.0,2.0,28.7,52.2,0,Cabo Bojador,26.1269,-14.4992,2026-09-17
2026-09-23,26.1,20.4,0.0,4.0,28.3,50.0,3,Cabo Bojador,26.1269,-14.4992,2026-09-17
2026-09-17,25.5,19.7,0.0,0.0,12.2,35.3,3,Casablanca,33.5992,-7.62,2026-09-17
2026-09-18,24.6,19.2,0.0,0.0,13.0,34.9,3,Casablanca,33.5992,-7.62,2026-09-17
2026-09-19,26.5,19.0,0.0,0.0,11.9,32.8,45,Casablanca,33.5992,-7.62,2026-09-17
2026-09-20,28.9,21.3,0.0,0.0,11.0,32.0,45,Casablanca,33.5992,-7.62,2026-09-17
2026-09-21,28.7,21.3,0.0,0.0,10.7,30.6,45,Casablanca,33.5992,-7.62,2026-09-17
2026-09-22,30.6,21.3,0.0,0.0,11.9,31.3,0,Casablanca,33.5992,-7.62,2026-09-17
2026-09-23,30.4,19.5,0.0,0.0,12.3,32.0,3,Casablanca,33.5992,-7.62,2026-09-17
2026-09-17,29.7,18.3,0.0,0.0,16.0,27.4,3,Chichaoua,31.5333,-8.7667,2026-09-17
2026-09-18,31.5,17.7,0.0,0.0,18.1,28.8,1,Chichaoua,31.5333,-8.7667,2026-09-17
2026-09-19,34.4,19.4,0.0,0.0,21.4,34.9,2,Chichaoua,31.5333,-8.7667,2026-09-17
2026-09-20,34.5,22.4,0.0,3.0,23.2,37.8,3,Chichaoua,31.5333,-8.7667,2026-09-17
2026-09-21,37.5,22.3,0.0,0.0,24.5,41.8,2,Chichaoua,31.5333,-8.7667,2026-09-17
2026-09-22,37.3,20.3,0.0,0.0,21.1,36.4,0,Chichaoua,31.5333,-8.7667,2026-09-17
2026-09-23,35.7,19.4,0.0,0.0,16.8,28.4,1,Chichaoua,31.5333,-8.7667,2026-09-17
